account_number,account_name,account_type,sub_type,currency,allow_posting,external_id
11000,Cash - Wells Fargo,Asset,Cash,USD,True,11000
11005,Cash - Northern Trust,Asset,Cash,USD,True,11005
11010,Cash - Drake Bank,Asset,Cash,USD,True,11010
11050,Petty Cash,Asset,Cash,USD,True,11050
11500,Accrued Investment Income,Asset,Accrued Investment Income,USD,True,11500
12000,Federal Excise Tax Receivable,Asset,Other Current Assets,USD,True,12000
12010,Employee Receivable,Asset,Other Current Assets,USD,True,12010
12020,Credit Card Receivable,Asset,Other Current Assets,USD,True,12020
12030,Employee Medical Premiums Rec,Asset,Other Current Assets,USD,True,12030
12032,Employee Dental Premiums Rec,Asset,Other Current Assets,USD,True,12032
12035,Employee Cell Phone Receivable,Asset,Other Current Assets,USD,True,12035
12040,LTD Premium Receivable,Asset,Other Current Assets,USD,True,12040
12050,COBRA Receivable,Asset,Other Current Assets,USD,True,12050
12100,Miscellaneous Receivables,Asset,Other Current Assets,USD,True,12100
12200,Tenant Receivable,Asset,Other Current Assets,USD,True,12200
12300,Grants Receivable,Asset,Grants Receivable,USD,True,12300
12500,Prepaid General Expenses,Asset,Other Current Assets,USD,True,12500
12510,Prepaid Rent,Asset,Other Current Assets,USD,True,12510
12520,Prepaid Business Insurance,Asset,Other Current Assets,USD,True,12520
12530,Prepaid Salaries/Benefits,Asset,Other Current Assets,USD,True,12530
12540,Prepaid Postage,Asset,Other Current Assets,USD,True,12540
13000,Investments (Book Value),Asset,Investments (Book Value),USD,True,13000
13001,Investment Domestic ETF (Book),Asset,Investments (Book Value),USD,True,13001
13002,Investments Intl ETF (Book),Asset,Investments (Book Value),USD,True,13002
13003,Investments Global ETF (Book),Asset,Investments (Book Value),USD,True,13003
13004,Investments SIO (Book),Asset,Investments (Book Value),USD,True,13004
13010,Investment Cash Equivalents,Asset,Investments (Cash),USD,True,13010
13015,Investments - TIPS (Book),Asset,Investments (Book Value),USD,True,13015
13020,Investment Market Change,Asset,Investment Market Change,USD,True,13020
13021,Investment Change - Dom. ETF,Asset,Investment Market Change,USD,True,13021
13022,Investment Change - Intl ETF,Asset,Investment Market Change,USD,True,13022
13023,Investment Change - Global ETF,Asset,Investment Market Change,USD,True,13023
13024,Investment Change - SIO,Asset,Investment Market Change,USD,True,13024
13025,Investment Change - TIPS,Asset,Investment Market Change,USD,True,13025
13500,Program Related Investments,Asset,Program Related Investments,USD,True,13500
