Segment ID,Name
00,General
01,Unrestricted
02,Xponance
03,TIPS
04,Blackrock
05,Denali Advisors
06,Global Fixed Income
07,Wellington
08,Emerging Market Debt
09,Next Century
10,Adams Street
11,Coast Diversified
12,Peregrine
13,Private Equity
14,Barclays
15,Developed Intl Equity
16,Artio Global
17,ABS Offshore
18,Large & Mid Cap
19,PIMCO
20,Wells Fargo ETF
21,Blackstone Resources Select
22,Real Assets
23,Global Equity
24,Credit
25,Diversifying Strategies
26,Angelo Gordon
27,Private Real Assets
28,Huntington Capital
29,Mondrian Emerging Markets
30,Emerging Market Equity
31,Stone Arch
32,Castlelake
33,Infrastructure
34,Granite Equity
35,Winton
36,Fuller & Thaler
37,Parametric
38,Global Credit
41,National Poll
42,Annual Update
43,Photo Tours
45,Outreach
47,Website
50,Diversity Equity Inclusion
51,DEI Workplan
61,Asset & Wealth Creation
62,Leadership & Capacity Building
63,Public Policy
64,Rural Development
65,NASEI
66,African American Leadership
67,Enterprise Development
68,Work Opportunity
69,Access to Capital
70,Financial Inclusion
71,FHLB Initiative
72,Crisis Response
80,Program
86,Information Technology
87,Office Management
88,Executive
89,Unallocated
95,Other Board Committees
96,Program Committee
99,Investment Related
